Threat, Time, Impact, Anomaly
[System.swvulnerabilities1, 1673885372.631956, 6, System.v1]
[System.swvulnerabilities2, 1673885374.42676, 6, System.v6]
[System.swvulnerabilities3, 1673885380.678244, 6, System.v16]
[System.swvulnerabilities4, 1673885382.510858, 6, System.v21]
[System.swvulnerabilities5, 1673885384.833153, 6, System.v26]
[System.swvulnerabilities6, 1673885386.857616, 6, System.v31]
[System.swvulnerabilities7, 1673885388.363216, 6, System.v36]
[System.swvulnerabilities8, 1673885390.584242, 6, System.v41]
[System.swvulnerabilities9, 1673885393.183189, 6, System.v46]
